strategy,class_index,class_name,train_count,class_weight,applied_to_loss,applied_to_sampler,expected_sampling_share,expected_epoch_samples
unweighted_ce,0,Center,3006,1.0,False,False,0.02483004704117775,3006.0
unweighted_ce,1,Donut,389,1.0,False,False,0.0032132030464708805,389.0
unweighted_ce,2,Edge-Loc,3632,1.0,False,False,0.03000090830028057,3632.0
unweighted_ce,3,Edge-Ring,6776,1.0,False,False,0.05597085878252983,6776.0
unweighted_ce,4,Loc,2516,1.0,False,False,0.02078256756067276,2516.0
unweighted_ce,5,Near-full,104,1.0,False,False,0.0008590568322688341,104.0
unweighted_ce,6,Random,606,1.0,False,False,0.005005658138543367,606.0
unweighted_ce,7,Scratch,835,1.0,False,False,0.0068972352892160416,835.0
unweighted_ce,8,none,103199,1.0,False,False,0.8524404764175415,103199.0
inverse_sqrt_ce,0,Center,3006,0.5583075284957886,True,False,0.02483004704117775,3006.0
inverse_sqrt_ce,1,Donut,389,1.5520051717758179,True,False,0.0032132030464708805,389.0
inverse_sqrt_ce,2,Edge-Loc,3632,0.5079196691513062,True,False,0.03000090830028057,3632.0
inverse_sqrt_ce,3,Edge-Ring,6776,0.3718615472316742,True,False,0.05597085878252983,6776.0
inverse_sqrt_ce,4,Loc,2516,0.6102568507194519,True,False,0.02078256756067276,2516.0
inverse_sqrt_ce,5,Near-full,104,3.00158953666687,True,False,0.0008590568322688341,104.0
inverse_sqrt_ce,6,Random,606,1.2434594631195068,True,False,0.005005658138543367,606.0
inverse_sqrt_ce,7,Scratch,835,1.0593140125274658,True,False,0.0068972352892160416,835.0
inverse_sqrt_ce,8,none,103199,0.09528624266386032,True,False,0.8524404764175415,103199.0
effective_number_ce,0,Center,3006,0.20755603909492493,True,False,0.02483004704117775,3006.0
effective_number_ce,1,Donut,389,1.4123786687850952,True,False,0.0032132030464708805,389.0
effective_number_ce,2,Edge-Loc,3632,0.17693835496902466,True,False,0.03000090830028057,3632.0
effective_number_ce,3,Edge-Ring,6776,0.10949036478996277,True,False,0.05597085878252983,6776.0
effective_number_ce,4,Loc,2516,0.2422490119934082,True,False,0.02078256756067276,2516.0
effective_number_ce,5,Near-full,104,5.2083940505981445,True,False,0.0008590568322688341,104.0
effective_number_ce,6,Random,606,0.9164344072341919,True,False,0.005005658138543367,606.0
effective_number_ce,7,Scratch,835,0.6726679801940918,True,False,0.0068972352892160416,835.0
effective_number_ce,8,none,103199,0.05389105901122093,True,False,0.8524404764175415,103199.0
inverse_sqrt_sampler,0,Center,3006,0.5583075284957886,False,True,0.08405828304359908,10176.347920107235
inverse_sqrt_sampler,1,Donut,389,1.5520051717758179,False,True,0.030238540113323793,3660.768381739318
inverse_sqrt_sampler,2,Edge-Loc,3632,0.5079196691513062,False,True,0.09239722446953329,11185.885185955109
inverse_sqrt_sampler,3,Edge-Ring,6776,0.3718615472316742,False,True,0.1262038848924656,15278.620916736561
inverse_sqrt_sampler,4,Loc,2516,0.6102568507194519,False,True,0.07690265873964379,9310.066574997496
inverse_sqrt_sampler,5,Near-full,104,3.00158953666687,False,True,0.01563517320397562,1892.8409735929004
inverse_sqrt_sampler,6,Random,606,1.2434594631195068,False,True,0.03774177407100864,4569.132394358519
inverse_sqrt_sampler,7,Scratch,835,1.0593140125274658,False,True,0.04430260333055657,5363.40606700717
inverse_sqrt_sampler,8,none,103199,0.09528624266386032,False,True,0.49251985813589366,59625.93158550569
focal_loss,0,Center,3006,1.0,False,False,0.02483004704117775,3006.0
focal_loss,1,Donut,389,1.0,False,False,0.0032132030464708805,389.0
focal_loss,2,Edge-Loc,3632,1.0,False,False,0.03000090830028057,3632.0
focal_loss,3,Edge-Ring,6776,1.0,False,False,0.05597085878252983,6776.0
focal_loss,4,Loc,2516,1.0,False,False,0.02078256756067276,2516.0
focal_loss,5,Near-full,104,1.0,False,False,0.0008590568322688341,104.0
focal_loss,6,Random,606,1.0,False,False,0.005005658138543367,606.0
focal_loss,7,Scratch,835,1.0,False,False,0.0068972352892160416,835.0
focal_loss,8,none,103199,1.0,False,False,0.8524404764175415,103199.0
